IdCategoría,IdProducto,NombreProducto,Stock,PrecioUnidad,Medida,Contador,LongHoja,DenominaciónCompleta
TAN,549 001,"ITALIANA 6,5CM VIROLA","-11,75",476.0553,L,289.0,0,"TAN 549 001 ITALIANA 6,5CM VIROLA L"
VBI,..,BISELADO  DE  3CM.,"-14,510005",397.9672,L,291.0,0,VBI .. BISELADO  DE  3CM. L
VCR,..,CRISTAL  DE  5mm.,"71,76000977",3465.0305,S,292.0,0,VCR .. CRISTAL  DE  5mm. S
JR,175,BATEA 2CM PAT. COMB. KO-3,"5,360000134",131.6537,L,417.0,0,JR 175 BATEA 2CM PAT. COMB. KO-3 L
PPA,102=120,NIZA VERDE  CEMENTO PERLADO,"82,91000366",2850.0,P,419.0,"0,699999988",PPA 102=120 NIZA VERDE  CEMENTO PERLADO P
PPE,005,VERDE INGLES,99,309.6015,P,420.0,"0,699999988",PPE 005 VERDE INGLES P
PPE,010 B,CREAM,"-3,329999924",2167.2128,P,421.0,"1,549999952",PPE 010 B CREAM P
PPE,101,MAIZ,100,309.6015,P,422.0,"0,699999988",PPE 101 MAIZ P
PPE,103,PIEDRA CALIZA    ''PRIOR'',"-0,99000001",402.4821,P,423.0,"0,75",PPE 103 PIEDRA CALIZA    ''PRIOR'' P
PPE,104,ARRAYAN,-1,402.4821,P,424.0,"0,75",PPE 104 ARRAYAN P
PPE,108,FLOWER,"-1,320000052",1145.5256,P,425.0,"0,75",PPE 108 FLOWER P
PPE,109 M,TALC,0,2167.2128,P,426.0,"0,800000012",PPE 109 M TALC P
PPE,110,MIGUEL ANGEL,"-1,330000043",402.4821,P,427.0,"0,75",PPE 110 MIGUEL ANGEL P
PPE,112,BISHOP BLUE,"-11,32999992",1145.5256,P,428.0,"0,75",PPE 112 BISHOP BLUE P
PPE,114 M,GRANITE,0,2167.2128,P,429.0,"0,800000012",PPE 114 M GRANITE P
PPE,128 M,ROSEBUD,0,2167.2128,P,431.0,"0,800000012",PPE 128 M ROSEBUD P
PPE,135,ROSETTE,0,1145.5256,P,432.0,"0,75",PPE 135 ROSETTE P
PPE,129,LAVA,"-0,330000013",1145.5256,P,433.0,"0,75",PPE 129 LAVA P
PPE,136,WINDSOR BLUE,"-2,329999924",1145.5256,P,434.0,"0,75",PPE 136 WINDSOR BLUE P
PPE,146,SAGE,"-13,32999992",1145.5256,P,435.0,"0,75",PPE 146 SAGE P
PPE,167,NEW TEAL,0,1145.5256,P,436.0,"0,75",PPE 167 NEW TEAL P
PPE,178,NATURAL GRAY,"-1,340000033",1145.5256,P,437.0,"0,75",PPE 178 NATURAL GRAY P
PPE,018,GIRASOL,"83,02999878",391.0,P,438.0,"0,699999988",PPE 018 GIRASOL P
PPE,182,FRENCH BEIGE,"-22,35000038",1145.5256,P,439.0,"0,75",PPE 182 FRENCH BEIGE P
PPE,184,MINGO,"-0,99000001",1145.5256,P,440.0,"0,75",PPE 184 MINGO P
PPE,189,TERRA COTTA,"-2,339999914",1145.5256,P,441.0,"0,75",PPE 189 TERRA COTTA P
PPE,191 M,HONEY MARMOLADO,0,2167.2128,P,442.0,"0,800000012",PPE 191 M HONEY MARMOLADO P
PPE,028,AZUL FRANCIA,100,309.6015,P,443.0,"0,699999988",PPE 028 AZUL FRANCIA P
PPE,032,BEIGE,99,391.0,P,444.0,"0,699999988",PPE 032 BEIGE P
PPE,412 B,GOLD MIDNIGHT,"-2,670000076",1548.0088,P,445.0,"0,75",PPE 412 B GOLD MIDNIGHT P
PPE,049,ACERO,"75,64001465",309.6015,P,446.0,"0,699999988",PPE 049 ACERO P
PPE,051,VERDE OSCURO,100,309.6015,P,447.0,"0,699999988",PPE 051 VERDE OSCURO P
PPE,15 S,SCOTCH GRAY,0,1145.5256,P,456.0,"0,75",PPE 15 S SCOTCH GRAY P
PPE,102 S,RIVERBANK,-5,1145.5256,P,469.0,"0,75",PPE 102 S RIVERBANK P
PPE,159 S,STORMY WEATHER,"-7,329999924",1145.5256,P,470.0,"0,75",PPE 159 S STORMY WEATHER P
PPE,147 S,WILD BLUE,"-1,99000001",1145.5256,P,471.0,"0,75",PPE 147 S WILD BLUE P
PPE,139 S,ROSSETE  BLAKING,0,1145.5256,P,472.0,"0,75",PPE 139 S ROSSETE  BLAKING P
PPE,994 S,CHAMOIS GOLD,"-1,330000043",1145.5256,P,473.0,"0,75",PPE 994 S CHAMOIS GOLD P
PPE,3319 S,TOPAZ,"-4,329999924",1145.5256,P,474.0,"0,75",PPE 3319 S TOPAZ P
PPA,109=070,PALM,"72,44998932",2850.0,P,475.0,"0,699999988",PPA 109=070 PALM P
PPA,121,OCRE,"86,01999664",2850.0,P,476.0,"0,699999988",PPA 121 OCRE P
PPA,123,CELESTE  INTENSO,"57,66999054",2850.0,P,477.0,"0,699999988",PPA 123 CELESTE  INTENSO P
PPA,124,APPLE VERDE  CALIPSO,"88,6700058",2850.0,P,478.0,"0,699999988",PPA 124 APPLE VERDE  CALIPSO P
PPA,125,IVY VERDE  AGRISADO,"55,96001816",2850.0,P,479.0,"0,699999988",PPA 125 IVY VERDE  AGRISADO P
PPA,130,BRONCE,"81,32000732",2850.0,P,480.0,"0,699999988",PPA 130 BRONCE P
PPE,986 S,TAMPICO BROWN,-3,1145.5256,P,483.0,"0,75",PPE 986 S TAMPICO BROWN P
VAG,005 ROPT,VARILLA  AGUILAR SINTET. 005 RO PT,"1,839999795",16.6218,L,497.0,0,VAG 005 ROPT VARILLA  AGUILAR SINTET. 005 RO PT L
VAG,005 RO83,VARILLA  AGUILAR SINTET. 005 RO 83,"-0,030000458",16.6218,L,498.0,0,VAG 005 RO83 VARILLA  AGUILAR SINTET. 005 RO 83 L
VAG,001 M83,VARILLA  AGUILAR SINTET. 001 M83,"1,069999099",11.0812,L,499.0,0,VAG 001 M83 VARILLA  AGUILAR SINTET. 001 M83 L
VAG,007 M83,VARILLA  AGUILAR SINTET. 007 842 M83,"0,190000042",19.3922,L,500.0,0,VAG 007 M83 VARILLA  AGUILAR SINTET. 007 842 M83 L
VAG,007 PT,VARILLA  AGUILAR SINTET. 007 842 PT,"-1,52588E-07",19.3922,L,501.0,0,VAG 007 PT VARILLA  AGUILAR SINTET. 007 842 PT L
AG,000,ACRILICO PARA MADERA,0,600.0,L,502.0,0,AG 000 ACRILICO PARA MADERA L
ENT,000,ENTELADO PARA CHANFLE,"29,35999107",454.1336,L,503.0,0,ENT 000 ENTELADO PARA CHANFLE L
VAG,506 01,MOLDURA MADERA 9.5 CM.,0,63.7172,L,511.0,0,VAG 506 01 MOLDURA MADERA 9.5 CM. L
JR,20,BOMBE 1CM. ROJO BRILLANTE,"14,31999969",118.3587,L,512.0,0,JR 20 BOMBE 1CM. ROJO BRILLANTE L
JR,23,BOMBE  2CM  RAIZ  CAOBA,"6,759999752",236.8371,L,519.0,0,JR 23 BOMBE  2CM  RAIZ  CAOBA L
SUR,230 012,BOMBE 5CM HOJA CON  FRISA,"2,25",81.3533,L,535.0,0,SUR 230 012 BOMBE 5CM HOJA CON  FRISA L
TAN,1220 001,BOMBE L 2CM. KIRI,"1,119988322",270.6379,L,603.0,0,TAN 1220 001 BOMBE L 2CM. KIRI L
OVA,1,OVALO 12 X 18 INT. TIZA,1,454.1246,U,609.0,0,OVA 1 OVALO 12 X 18 INT. TIZA U
OVA,2,OVALO 18 X 24 INT. TIZA,6,700.6483,U,610.0,0,OVA 2 OVALO 18 X 24 INT. TIZA U
OVA,3,OVALO 24 X 30 INT. TIZA,2,1043.1868,U,611.0,0,OVA 3 OVALO 24 X 30 INT. TIZA U
OVA,4,OVALO 30 X 40 INT. TIZA,1,1220.2949,U,612.0,0,OVA 4 OVALO 30 X 40 INT. TIZA U
OVA,5,OVALO 40 X 50 INT. TIZA,0,2773.3977,U,613.0,0,OVA 5 OVALO 40 X 50 INT. TIZA U
OVA,6,OVALO 70 X 50 EXT. TIZA,2,3965.4206,U,614.0,0,OVA 6 OVALO 70 X 50 EXT. TIZA U
OVA,7,OVALO 70 X 100 EXT. TIZA,0,5168.9235,U,615.0,0,OVA 7 OVALO 70 X 100 EXT. TIZA U
CIR,2,CIRCULO DE 60 EXT. TIZA,1,332.1522,U,616.0,0,CIR 2 CIRCULO DE 60 EXT. TIZA U
CIR,1,CIRCULO DE 18.5 INT. TIZA,1,157.1164,U,617.0,0,CIR 1 CIRCULO DE 18.5 INT. TIZA U
REC,1,RECTANG. PUN. REDONDA 18X24,1,59.8389,U,618.0,0,REC 1 RECTANG. PUN. REDONDA 18X24 U
REC,2,RECTANG. PUN. REDONDA 24X30,4,89.0935,U,619.0,0,REC 2 RECTANG. PUN. REDONDA 24X30 U
OVA,8,OVALO 26 X 34 INT. TIZA,1,1135.3096,U,620.0,0,OVA 8 OVALO 26 X 34 INT. TIZA U
CAP,1,CAPILLA 38 X 54 INT. TIZA,0,311.6604,U,621.0,0,CAP 1 CAPILLA 38 X 54 INT. TIZA U
ALA,1,ALAMBRE FINO,6,236.7136,U,622.0,0,ALA 1 ALAMBRE FINO U
ALA,2,ALAMBRE MEDIANO,3,261.2011,U,623.0,0,ALA 2 ALAMBRE MEDIANO U
ALA,3,ALAMBRE GRUESO,5,335.8067,U,624.0,0,ALA 3 ALAMBRE GRUESO U
